Number of activities and dose by community by month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com_ID,,yr_mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,Total
33,number of activities,0,1,0,0,0,4,4,3,1,8,5,0,4,8,8,8,9,8,8,7,10,8,8,5,5,5,2,129
,dose,0,0.33,0,0,0,1.6825,2,1.25,0.33,8.928,8.2264,0,2.67,4,4.33,4.33,6.64,3.99,3.99,3.66,7.75,4.74,4.74,2.4,3.08,2.74,1.33,83.1369
34,number of activities,0,4,0,0,0,0,0,4,2,4,3,0,0,8,0,0,0,0,0,8,8,8,9,9,9,9,2,87
,dose,0,3.711,0,0,0,0,0,3.32,1,1.66,1.33,0,0,4.2312,0,0,0,0,0,4.464,3.99,4.33,5.33,5.33,5.33,5.67,0.66,50.3562
41,number of activities,2,0,1,2,1,3,1,2,1,5,2,1,5,6,8,7,8,7,8,8,10,5,4,5,4,5,0,111
,dose,1.2857,0,0.4,1.67,0.7,1.53,0.33,0.66,1,3.3172,1.47,1.34,4.68,4.34,5.01,4,6.8652,7.09,4.59,5.34,6.145,3.32,4.01,6.02,5.33,4.67,0,85.1131
43,number of activities,1,0,1,1,1,5,1,3,5,5,6,5,6,6,7,7,13,9,9,9,6,3,5,5,2,1,0,122
,dose,1,0,0.48,1,0.2475,3.2475,0.2475,1.66,5.67,4.5633,4.84,5.01,6.36,4.68,4.68,4.1675,8.9412,5.455,5.6448,6.1407,2.5271,1.65,2.3605,2.5025,1.33,0.33,0,84.7351
91,number of activities,5,1,4,6,0,0,0,0,12,0,0,0,5,6,8,6,7,0,5,3,4,3,4,7,3,2,1,92
,dose,3.97,0.67,2.1649,3.1709,0,0,0,0,7.721,0,0,0,4.1548,4.98,6.3627,6.966,7.171,0,3.57,1.33,1.3591,0.429,1.4784,3.312,3.874,1.33,0.33,64.3438
92,number of activities,1,0,1,4,0,0,0,0,11,0,0,0,5,2,3,4,10,0,2,0,1,2,4,3,6,3,0,62
,dose,0.67,0,0.67,2.334,0,0,0,0,8.587,0,0,0,3.5828,5,1.2989,3.34,6.03,0,1.11,0,0.297,1.84,4.6355,0.8427,6.0227,2.442,0,48.7026
101,number of activities,3,2,3,9,7,4,5,4,3,17,13,15,15,12,15,17,10,9,7,4,3,8,10,6,3,8,3,215
,dose,1.66,3.33,3.835,6.7525,5.99,4.165,3.365,1.665,1.2525,14.9865,10.88,6.9348,9.6395,10.956,12.3185,17.3107,6.6755,7.842,4.918,3.6018,1.396,3.7723,8.2215,4.253,0.957,5.2853,2.8425,164.8059
103,number of activities,2,1,1,1,1,1,1,0,2,4,6,4,5,7,5,3,4,2,3,2,8,4,5,1,0,4,0,77
,dose,1.33,0.33,0.33,0.33,0.33,0.33,0.132,0,1.165,3.01,5.923,2.056,3.134,4.4188,8.082,3,2.6432,1.2,1.464,4,5.99,2.871,3.33,0.804,0,2.204,0,58.407
111,number of activities,0,2,0,0,0,0,2,0,3,2,0,1,7,4,4,8,7,3,3,8,10,7,6,6,6,4,4,97
,dose,0,0.66,0,0,0,0,0.66,0,2.8475,2.68,0,0.67,9.33,2.67,2.67,4.4,6.1875,1.66,0.99,3.31,4.5688,2.4828,1.7427,1.7031,2.02,1.025,1.66,53.9374
Total,number of activities,14,11,11,23,10,17,14,16,40,45,35,26,52,59,58,60,68,38,45,49,60,48,55,47,38,41,12,992
,dose,9.9157,9.031,7.8799,15.2574,7.2675,10.955,6.7345,8.555,29.573,39.145,32.6694,16.0108,43.5511,45.276,44.7521,47.5142,51.1536,27.237,26.2768,31.8465,34.023,25.4351,35.8486,27.1673,27.9437,25.6963,6.8225,693.538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dose = Number of activities conducted x effectiveness score x total number of participants/intended number of participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,
33,activities,0,1,1,1,1,5,9,12,13,21,26,26,30,38,46,54,63,71,79,86,96,104,112,117,122,127,129,
,activities,0,0.007751938,0.007751938,0.007751938,0.007751938,0.03875969,0.069767442,0.093023256,0.100775194,0.162790698,0.201550388,0.201550388,0.23255814,0.294573643,0.356589147,0.418604651,0.488372093,0.550387597,0.612403101,0.666666667,0.744186047,0.80620155,0.868217054,0.906976744,0.945736434,0.984496124,1,
34,,0,4,4,4,4,4,4,8,10,14,17,17,17,25,25,25,25,25,25,33,41,49,58,67,76,85,87,
,,0,0.045977011,0.045977011,0.045977011,0.045977011,0.045977011,0.045977011,0.091954023,0.114942529,0.16091954,0.195402299,0.195402299,0.195402299,0.287356322,0.287356322,0.287356322,0.287356322,0.287356322,0.287356322,0.379310345,0.471264368,0.563218391,0.666666667,0.770114943,0.873563218,0.977011494,1,
41,,2,2,3,5,6,9,10,12,13,18,20,21,26,32,40,47,55,62,70,78,88,93,97,102,106,111,111,
,,0.018018018,0.018018018,0.027027027,0.045045045,0.054054054,0.081081081,0.09009009,0.108108108,0.117117117,0.162162162,0.18018018,0.189189189,0.234234234,0.288288288,0.36036036,0.423423423,0.495495495,0.558558559,0.630630631,0.702702703,0.792792793,0.837837838,0.873873874,0.918918919,0.954954955,1,1,
43,,1,1,2,3,4,9,10,13,18,23,29,34,40,46,53,60,73,82,91,100,106,109,114,119,121,122,122,
,,0.008196721,0.008196721,0.016393443,0.024590164,0.032786885,0.073770492,0.081967213,0.106557377,0.147540984,0.18852459,0.237704918,0.278688525,0.327868852,0.37704918,0.43442623,0.491803279,0.598360656,0.672131148,0.745901639,0.819672131,0.868852459,0.893442623,0.93442623,0.975409836,0.991803279,1,1,
91,,5,6,10,16,16,16,16,16,28,28,28,28,33,39,47,53,60,60,65,68,72,75,79,86,89,91,92,
,,0.054347826,0.065217391,0.108695652,0.173913043,0.173913043,0.173913043,0.173913043,0.173913043,0.304347826,0.304347826,0.304347826,0.304347826,0.358695652,0.423913043,0.510869565,0.576086957,0.652173913,0.652173913,0.706521739,0.739130435,0.782608696,0.815217391,0.858695652,0.934782609,0.967391304,0.989130435,1,
92,,1,1,2,6,6,6,6,6,17,17,17,17,22,24,27,31,41,41,43,43,44,46,50,53,59,62,62,
,,0.016129032,0.016129032,0.032258065,0.096774194,0.096774194,0.096774194,0.096774194,0.096774194,0.274193548,0.274193548,0.274193548,0.274193548,0.35483871,0.387096774,0.435483871,0.5,0.661290323,0.661290323,0.693548387,0.693548387,0.709677419,0.741935484,0.806451613,0.85483871,0.951612903,1,1,
101,,3,5,8,17,24,28,33,37,40,57,70,85,100,112,127,144,154,163,170,174,177,185,195,201,204,212,215,
,,0.013953488,0.023255814,0.037209302,0.079069767,0.111627907,0.130232558,0.153488372,0.172093023,0.186046512,0.265116279,0.325581395,0.395348837,0.465116279,0.520930233,0.590697674,0.669767442,0.71627907,0.758139535,0.790697674,0.809302326,0.823255814,0.860465116,0.906976744,0.934883721,0.948837209,0.986046512,1,
103,,2,3,4,5,6,7,8,8,10,14,20,24,29,36,41,44,48,50,53,55,63,67,72,73,73,77,77,
,,0.025974026,0.038961039,0.051948052,0.064935065,0.077922078,0.090909091,0.103896104,0.103896104,0.12987013,0.181818182,0.25974026,0.311688312,0.376623377,0.467532468,0.532467532,0.571428571,0.623376623,0.649350649,0.688311688,0.714285714,0.818181818,0.87012987,0.935064935,0.948051948,0.948051948,1,1,
111,,0,2,2,2,2,2,4,4,7,9,9,10,17,21,25,33,40,43,46,54,64,71,77,83,89,93,97,
,,0,0.020618557,0.020618557,0.020618557,0.020618557,0.020618557,0.041237113,0.041237113,0.072164948,0.092783505,0.092783505,0.103092784,0.175257732,0.216494845,0.257731959,0.340206186,0.412371134,0.443298969,0.474226804,0.556701031,0.659793814,0.731958763,0.793814433,0.855670103,0.917525773,0.958762887,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,
,Community 33,0,0.007751938,0.007751938,0.007751938,0.007751938,0.03875969,0.069767442,0.093023256,0.100775194,0.162790698,0.201550388,0.201550388,0.23255814,0.294573643,0.356589147,0.418604651,0.488372093,0.550387597,0.612403101,0.666666667,0.744186047,0.80620155,0.868217054,0.906976744,0.945736434,0.984496124,1,
,Community 34,0,0.045977011,0.045977011,0.045977011,0.045977011,0.045977011,0.045977011,0.091954023,0.114942529,0.16091954,0.195402299,0.195402299,0.195402299,0.287356322,0.287356322,0.287356322,0.287356322,0.287356322,0.287356322,0.379310345,0.471264368,0.563218391,0.666666667,0.770114943,0.873563218,0.977011494,1,
,Community 41,0.018018018,0.018018018,0.027027027,0.045045045,0.054054054,0.081081081,0.09009009,0.108108108,0.117117117,0.162162162,0.18018018,0.189189189,0.234234234,0.288288288,0.36036036,0.423423423,0.495495495,0.558558559,0.630630631,0.702702703,0.792792793,0.837837838,0.873873874,0.918918919,0.954954955,1,1,
,Community 43,0.008196721,0.008196721,0.016393443,0.024590164,0.032786885,0.073770492,0.081967213,0.106557377,0.147540984,0.18852459,0.237704918,0.278688525,0.327868852,0.37704918,0.43442623,0.491803279,0.598360656,0.672131148,0.745901639,0.819672131,0.868852459,0.893442623,0.93442623,0.975409836,0.991803279,1,1,
,Community 91,0.054347826,0.065217391,0.108695652,0.173913043,0.173913043,0.173913043,0.173913043,0.173913043,0.304347826,0.304347826,0.304347826,0.304347826,0.358695652,0.423913043,0.510869565,0.576086957,0.652173913,0.652173913,0.706521739,0.739130435,0.782608696,0.815217391,0.858695652,0.934782609,0.967391304,0.989130435,1,
,Community 92,0.016129032,0.016129032,0.032258065,0.096774194,0.096774194,0.096774194,0.096774194,0.096774194,0.274193548,0.274193548,0.274193548,0.274193548,0.35483871,0.387096774,0.435483871,0.5,0.661290323,0.661290323,0.693548387,0.693548387,0.709677419,0.741935484,0.806451613,0.85483871,0.951612903,1,1,
,Community 101,0.013953488,0.023255814,0.037209302,0.079069767,0.111627907,0.130232558,0.153488372,0.172093023,0.186046512,0.265116279,0.325581395,0.395348837,0.465116279,0.520930233,0.590697674,0.669767442,0.71627907,0.758139535,0.790697674,0.809302326,0.823255814,0.860465116,0.906976744,0.934883721,0.948837209,0.986046512,1,
,Community 103,0.025974026,0.038961039,0.051948052,0.064935065,0.077922078,0.090909091,0.103896104,0.103896104,0.12987013,0.181818182,0.25974026,0.311688312,0.376623377,0.467532468,0.532467532,0.571428571,0.623376623,0.649350649,0.688311688,0.714285714,0.818181818,0.87012987,0.935064935,0.948051948,0.948051948,1,1,
,Community 111,0,0.020618557,0.020618557,0.020618557,0.020618557,0.020618557,0.041237113,0.041237113,0.072164948,0.092783505,0.092783505,0.103092784,0.175257732,0.216494845,0.257731959,0.340206186,0.412371134,0.443298969,0.474226804,0.556701031,0.659793814,0.731958763,0.793814433,0.855670103,0.917525773,0.958762887,1,